words,parts,lemma,pos,feats,deps,head,,
невзирая на,ADP,,,,,,,
%,невзирая,НЕВЗИРАЯ,ADV,Polarity=Neg,case,0,,
%,на,НА,ADP,_,fixed,1,,
##,,,,,,,,
несмотря на,ADP,,,,,,,
%,несмотря,НЕСМОТРЯ,ADV,Polarity=Neg,case,0,,
%,на,НА,ADP,_,fixed,1,,
##,,,,,,,,
нет-нет да и,PART,,,,,,,
%,нет,НЕТ,PART,Polarity=Neg,advmod,0,,
%,-,-,PUNCT,_,punct,-1,,
%,нет,НЕТ,PART,Polarity=Neg,fixed,2,,
%,да,ДА,CCONJ,_,fixed,3,,
%,и,И,PART,_,fixed,4,,
##,,,,,,,,
ни в коей мере,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,0,,
%,в,В,ADP,_,fixed,1,,
%,коей,КОЙ,DET,Case=Loc|Gender=Fem|Number=Sing,fixed,2,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,3,,
##,,,,,,,,
ни в коем случае,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,-1,,
%,в,В,ADP,_,fixed,0,,
%,коем,КОЙ,DET,Case=Loc|Gender=Masc|Number=Sing,fixed,-1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
ни много ни мало,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,-2,,
%,много,МНОГО,ADV,Degree=Pos,fixed,0,,
%,ни,НИ,PART,Polarity=Neg,fixed,1,,
%,мало,МАЛО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
ни разу,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,0,,
%,разу,РАЗ,NOUN,Animacy=Inan|Case=Par|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
ни шатко ни валко,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,-2,,
%,шатко,ШАТКО,ADV,Degree=Pos,fixed,0,,
%,ни,НИ,PART,Polarity=Neg,fixed,1,,
%,валко,ВАЛКО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
никоим образом,ADV Degree=Pos,,,,,,,
%,никоим,НИКОЙ,DET,Case=Ins|Gender=Masc|Number=Sing,advmod,-1,,
%,образом,ОБРАЗ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,fixed,0,,
##,,,,,,,,
нон грата,ADV Degree=Pos,,,,,,,
%,нон,НОН,PART,_,amod,-1,,
%,грата,ГРАТА,ADJ,_,fixed,0,,
##,,,,,,,,
ну и,PART,,,,,,,
%,ну,НУ,PART,_,discourse,-1,,
%,и,И,CCONJ,_,fixed,0,,
##,,,,,,,,
ну и,INTJ,,,,,,,
%,ну,НУ,PART,_,parataxis,-1,,
%,и,И,CCONJ,_,fixed,0,,
##,,,,,,,,
оттого что,SCONJ,,,,,,,
%,оттого,ОТТОГО,ADV,Degree=Pos,mark,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
оттого,что,CONJ,,,,,,
%,оттого,ОТТОГО,ADV,Degree=Pos,mark,0,,
%,|,|,PUNCT,_,punct,0,,
%,что,ЧТО,SCONJ,_,fixed,0,,
##,,,,,,,,
плоть от плоти,ADV Degree=Pos,,,,,,,
%,плоть,ПЛОТЬ,NOUN,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,advmod,0,,
%,от,ОТ,ADP,_,fixed,1,,
%,плоти,ПЛОТЬ,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
по крайней мере,ADV Degree=Pos,,,,,,,
%,по,ПО,ADP,_,advmod,0,,
%,крайней,КРАЙНИЙ,ADJ,Case=Dat|Degree=Pos|Gender=Fem|Number=Sing,fixed,-1,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,fixed,2,,
##,,,,,,,,
по меньшей мере,ADV Degree=Pos,,,,,,,
%,по,ПО,ADP,_,advmod,0,,
%,меньшей,МЕНЬШИЙ,ADJ,Case=Dat|Degree=Pos|Gender=Fem|Number=Sing,fixed,-1,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,fixed,2,,
##,,,,,,,,
по мере,ADP,,,,,,,
%,по,ПО,ADP,_,case,0,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
по мере того как,SCONJ,,,,,,,
%,по,ПО,ADP,_,mark,0,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,fixed,1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,fixed,1,,
%,как,КАК,SCONJ,_,fixed,1,,
##,,,,,,,,
по мере того, как,CONJ,,,,,,
%,по,ПО,ADP,_,mark,0,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,fixed,1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,fixed,1,,
%,|,|,PUNCT,_,punct,0,,
%,как,КАК,SCONJ,_,fixed,0,,
##,,,,,,,,
по отношению к,ADP,,,,,,,
%,по,ПО,ADP,_,case,0,,
%,отношению,ОТНОШЕНИЕ,NOUN,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,fixed,1,,
%,к,К,ADP,_,fixed,1,,
##,,,,,,,,
по поводу,ADP,,,,,,,
%,по,ПО,ADP,_,case,0,,
%,поводу,ПОВОД,NOUN,Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
по сравнению с,ADP,,,,,,,
%,по,ПО,ADP,_,case,0,,
%,сравнению,СРАВНЕНИЕ,NOUN,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,fixed,1,,
%,с,С,ADP,_,fixed,1,,
##,,,,,,,,
по сравнению со,ADP,,,,,,,
%,по,ПО,ADP,_,case,0,,
%,сравнению,СРАВНЕНИЕ,NOUN,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,fixed,1,,
%,со,СО,ADP,_,fixed,1,,
##,,,,,,,,
по старинке,ADV Degree=Pos,,,,,,,
%,по,ПО,ADP,_,advmod,0,,
%,старинке,СТАРИНКА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
по фиг,ADV Degree=Pos,,,,,,,
%,по,ПО,ADP,_,%,0,,
%,фиг,ФИГ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
потому как,SCONJ,,,,,,,
%,потому,ПОТОМУ,ADV,Degree=Pos,mark,0,,
%,как,КАК,SCONJ,_,fixed,1,,
##,,,,,,,,
потому что,SCONJ,,,,,,,
%,потому,ПОТОМУ,ADV,Degree=Pos,mark,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
прежде всего,ADV Degree=Pos,,,,,,,
%,прежде,ПРЕЖДЕ,ADP,_,advmod,0,,
%,всего,ВСЕ,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
прежде чем,SCONJ,,,,,,,
%,прежде,ПРЕЖДЕ,ADV,Degree=Pos,mark,0,,
%,чем,ЧЕМ,SCONJ,_,fixed,1,,
##,,,,,,,,
при помощи,ADV Degree=Pos,,,,,,,
%,при,ПРИ,ADP,_,case,0,,
%,помощи,ПОМОЩЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
при помощи,ADP,,,,,,,
%,при,ПРИ,ADP,_,case,0,,
%,помощи,ПОМОЩЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
при условии, что,SCONJ,,,,,,
%,при,ПРИ,ADP,_,mark,0,,
%,условии,УСЛОВИЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,fixed,1,,
%,|,|,PUNCT,_,punct,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
при условии что,SCONJ,,,,,,,
%,при,ПРИ,ADP,_,mark,0,,
%,условии,УСЛОВИЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,fixed,1,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
разве что,ADV Degree=Pos,,,,,,,
%,разве,РАЗВЕ,PART,_,advmod,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
разве что,SCONJ,,,,,,,
%,разве,РАЗВЕ,PART,_,mark,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
с лихвой,ADV Degree=Pos,,,,,,,
%,с,С,ADP,_,advmod,0,,
%,лихвой,ЛИХВА,NOUN,Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
с панталыку,ADV Degree=Pos,,,,,,,
%,с,С,ADP,_,advmod,0,,
%,панталыку,ПАНТАЛЫК,NOUN,Animacy=Inan|Case=Par|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
с поличным,ADV Degree=Pos,,,,,,,
%,с,С,ADP,_,advmod,0,,
%,поличным,ПОЛИЧНОЕ,NOUN,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
с помощью,ADP,,,,,,,
%,с,С,ADP,_,case,0,,
%,помощью,ПОМОЩЬ,NOUN,Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
с тех пор,ADV Degree=Pos,,,,,,,
%,с,С,ADP,_,advmod,0,,
%,тех,ТОТ,DET,Case=Gen|Number=Plur,fixed,-1,,
%,пор,ПОРА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,fixed,2,,
##,,,,,,,,
 с тех пор,как,SCONJ,,,,,,
%,с,С,ADP,_,mark,0,,
%,тех,ТОТ,DET,Case=Gen|Number=Plur,fixed,-1,,
%,пор,ПОРА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,fixed,2,,
%,|,|,PUNCT,_,punct,0,,
%,как,КАК,SCONJ,_,fixed,0,,
##,,,,,,,,
с тех пор как,SCONJ,,,,,,,
%,с,С,ADP,_,mark,0,,
%,тех,ТОТ,DET,Case=Gen|Number=Plur,fixed,-1,,
%,пор,ПОРА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,fixed,2,,
%,как,КАК,SCONJ,_,fixed,2,,
##,,,,,,,,
святая святых,NOUN Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,,,,,,,
%,святая,СВЯТОЙ,ADJ,Animacy=Inan|Case=Nom|Degree=Pos|Gender=Fem|Number=Sing,%,0,,
%,святых,СВЯТОЙ,ADJ,Case=Gen|Degree=Pos|Number=Plur,nmod,1,,
##,,,,,,,,
святая святых,NOUN Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,,,,,,,
%,святая,СВЯТОЙ,ADJ,Animacy=Inan|Case=Nom|Degree=Pos|Gender=Fem|Number=Sing,%,0,,
%,святых,СВЯТОЙ,ADJ,Case=Gen|Degree=Pos|Number=Plur,nmod,1,,
##,,,,,,,,
со стороны,ADV Degree=Pos,,,,,,,
%,со,СО,ADP,_,case,0,,
%,стороны,СТОРОНА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
т тчк е,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,mark,0,,
%,е.,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,1,,
##,,,,,,,,
т. д,ADV Degree=Pos,,,,,,,
%,т.,ТАК,ADV,Degree=Pos,conj,-1,,
%,д.,ДАЛЕЕ,ADV,Degree=Pos,fixed,0,,
##,,,,,,,,
т. д.,ADV Degree=Pos,,,,,,,
%,т.,ТАК,ADV,Degree=Pos,conj,-1,,
%,д.,ДАЛЕЕ,ADV,Degree=Pos,fixed,0,,
##,,,,,,,,
т.д.,ADV Degree=Pos,,,,,,,
%,т.,ТАК,ADV,Degree=Pos,conj,-1,,
%,д.,ДАЛЕЕ,ADV,Degree=Pos,fixed,0,,
##,,,,,,,,
т.д,ADV Degree=Pos,,,,,,,
%,т.,ТАК,ADV,Degree=Pos,conj,-1,,
%,д.,ДАЛЕЕ,ADV,Degree=Pos,fixed,0,,
##,,,,,,,,
т. к.,SCONJ,,,,,,,
%,так,ТАК,ADV,Degree=Pos,mark,0,,
%,как,КАК,SCONJ,_,fixed,0,,
##,,,,,,,,
т.к.,SCONJ,,,,,,,
%,так,ТАК,ADV,Degree=Pos,mark,0,,
%,как,КАК,SCONJ,_,fixed,0,,
##,,,,,,,,
т. е,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,mark,0,,
%,е.,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,1,,
##,,,,,,,,
т.е,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,mark,0,,
%,е.,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,1,,
##,,,,,,,,
т.е.,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,mark,0,,
%,е.,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,1,,
##,,,,,,,,
т. е.,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,mark,0,,
%,е.,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,1,,
##,,,,,,,,
т тчк п,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,-1,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
т. п.,ADV Degree=Pos,,,,,-1,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,0,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,,,
##,,,,,,,,
т. п,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,-1,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
т.п,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,-1,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
т.п.,ADV Degree=Pos,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,-1,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
т.п.,NOUN Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,-1,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
л.с.,NOUN Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,,,,,,,
%,л.,Л,ADJ,_,amod,-1,,
%,с.,С,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,%,0,,
##,,,,,,,,
и.о.,NOUN Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,и.,И,VERB,_,%,0,,
%,о.,О,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur,obj,1,,
##,,,,,,,,
н тчк э,NOUN Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,,,,,,,
%,н.,НАША,DET,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,conj,-1,,
%,э.,ЭРА,NOUN,Case=Gen|Degree=Pos|Gender=Fem|Number=Sing,fixed,0,,
##,,,,,,,,
так же как,CCONJ,,,,,,,
%,так,ТАК,ADV,Degree=Pos,cc,0,,
%,же,ЖЕ,PART,_,fixed,1,,
%,как,КАК,SCONJ,_,fixed,2,,
##,,,,,,,,
так же, как,СCONJ,,,,,,
%,так,ТАК,ADV,Degree=Pos,cc,0,,
%,же,ЖЕ,PART,_,fixed,1,,
%,|,|,PUNCT,_,punct,0,,
%,как,КАК,SCONJ,_,fixed,0,,
##,,,,,,,,
так и,CCONJ,,,,,,,
%,так,ТАК,ADV,Degree=Pos,cc,-1,,
%,и,И,PART,_,fixed,0,,
##,,,,,,,,
так как,SCONJ,,,,,,,
%,так,ТАК,ADV,Degree=Pos,mark,-1,,
%,как,КАК,SCONJ,_,fixed,0,,
##,,,,,,,,
так что,SCONJ,,,,,,,
%,так,ТАК,ADV,Degree=Pos,mark,-1,,
%,что,ЧТО,SCONJ,_,fixed,0,,
##,,,,,,,,
тем более,ADV Degree=Pos,,,,,,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,%,-1,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,fixed,0,,
##,,,,,,,,
тем более,PART,,,,,,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,%,-1,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,fixed,0,,
##,,,,,,,,
тем не менее,ADV Degree=Pos,,,,,,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,discourse,0,,
%,не,НЕ,PART,Polarity=Neg,fixed,1,,
%,менее,МЕНЕЕ,ADV,Degree=Cmp,fixed,1,,
##,,,,,,,,
то бишь,ADV Degree=Pos,,,,,,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,cc,0,,
%,бишь,БИШЬ,PART,_,fixed,1,,
##,,,,,,,,
то есть,ADV Degree=Pos,,,,,,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,mark,0,,
%,есть,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,1,,
##,,,,,,,,
тогда как,SCONJ,,,,,,,
%,тогда,ТОГДА,ADV,Degree=Pos,mark,0,,
%,как,КАК,SCONJ,_,fixed,1,,
##,,,,,,,,
тому назад,ADP,,,,,,,
%,тому,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,advmod,-1,,
%,назад,НАЗАД,ADV,Degree=Pos,fixed,0,,
##,,,,,,,,
хотя бы,ADV Degree=Pos,,,,,,,
%,хотя,ХОТЯ,PART,_,advmod,0,,
%,бы,БЫ,PART,_,fixed,1,,
##,,,,,,,,
хотя бы,PART,,,,,,,
%,хотя,ХОТЯ,PART,_,advmod,0,,
%,бы,БЫ,PART,_,fixed,1,,
##,,,,,,,,
хоть бы,PART,,,,,,,
%,хоть,ХОТЯ,PART,_,advmod,0,,
%,бы,БЫ,PART,_,fixed,1,,
##,,,,,,,,
что ни на есть,PART,,,,,,,
%,что,ЧТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,advmod,-3,,
%,ни,НИ,PART,Polarity=Neg,fixed,-2,,
%,на,НА,ADP,_,fixed,-1,,
%,есть,БЫТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,fixed,0,,
##,,,,,,,,
чуть ли не,ADV Degree=Pos,,,,,,,
%,чуть,ЧУТЬ,ADV,Degree=Pos,advmod,-2,,
%,ли,ЛИ,PART,_,fixed,1,,
%,не,НЕ,PART,Polarity=Neg,fixed,0,,
##,,,,,,,,
чуть ли не,PART,,,,,,,
%,чуть,ЧУТЬ,ADV,Degree=Pos,advmod,-2,,
%,ли,ЛИ,PART,_,fixed,1,,
%,не,НЕ,PART,Polarity=Neg,fixed,0,,
##,,,,,,,,
чуть не,PART,,,,,,,
%,чуть,ЧУТЬ,ADV,Degree=Pos,advmod,0,,
%,не,НЕ,PART,Polarity=Neg,fixed,0,,
##,,,,,,,,
гранд отель,NOUN Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Гранд,ГРАНД,ADJ,_,amod,1,,
%,Отель,ОТЕЛЬ,NOUN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,%,0,,
##,,,,,,,,
сктб нм,PROPN Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,,,,,,,
%,СКТБ,СКТБ,PROPN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,%,0,,
%,НМ,НМ,PROPN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
сктб нм,NOUN Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,,,,,,,
%,СКТБ,СКТБ,PROPN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,%,1,,
%,НМ,НМ,PROPN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,flat,0,,
##,,,,,,0,,
да винчи,NOUN Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,да,ДА,ADP,_,%,-1,,
%,Винчи,ВИНЧИ,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,0,,
##,,,,,,,,
дель арте,ADV Degree=Pos,,,,,,,
%,дель,ДЕЛЬ,ADP,_,amod,-1,,
%,арте,АРТЕ,NOUN,_,flat,0,,
##,,,,,,,,
дэн сяопин,PROPN Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur,,,,,,,
%,Дэн,ДЭН,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur,%,0,,
%,Сяопинов,СЯОПИН,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur,flat,1,,
##,,,,,,,,
зав. кафедрой,NOUN,,,,,,,
%,зав.,ЗАВ.,NOUN,_,%,0,,
%,кафедрой,КАФЕДРА,NOUN,Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing,nmod,1,,
##,,,,,,,,
ким чен ир,PROPN Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Ким,КИМ,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,%,0,,
%,Чен,ЧЕН,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
%,Ир,ИР,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
ким чен ир,PROPN Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,,,,,,,
%,Ким,КИМ,PROPN,Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,%,0,,
%,Чен,ЧЕН,PROPN,Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,flat,1,,
%,Ира,ИР,PROPN,Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
ким чен ир,PROPN Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,,,,,,,
%,Ким,КИМ,PROPN,Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,%,0,,
%,Чен,ЧЕН,PROPN,Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,flat,1,,
%,Иру,ИР,PROPN,Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
лим дон вон,PROPN Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Лим,ЛИМ,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,%,0,,
%,Дон,ДОН,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
%,Вон,ВОН,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
ким дэ чжун,PROPN Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,Ким,ЛИМ,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,%,0,,
%,Дэ,ДОН,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,flat,1,,
